index,correct_features,local_mistake,time,image_size
P01004-191430.jpg,0.01,259.0555725097656,0.21403,9096192
P01004-182745.jpg,0.018,241.7440219455295,0.200445,9096192
P01004-190838.jpg,0.014,265.0179988316127,0.191045,9096192
photo_2020-10-01_22-12-39.jpg,0.012,261.0577621459961,0.023262,916480
P01004-185831.jpg,0.018,256.18451436360675,0.180176,9096192
photo_2020-10-02_10-57-26.jpg,0.002,246.82989501953125,0.033899,916480
photo_2020-10-02_10-57-54.jpg,0.008,249.5819854736328,0.026795,916480
photo_2020-10-01_22-11-49.jpg,0.020618556701030927,308.7662811279297,0.017688,916480
P01004-191037.jpg,0.004,220.2544937133789,0.167993,9096192
photo_2020-10-01_22-12-25.jpg,0.01,248.3574249267578,0.04302,916480
P01004-191157.jpg,0.008,287.8525619506836,0.172042,9096192
P01004-183542.jpg,0.7692307692307693,376.88611755371096,0.164175,9096192
P01004-182725.jpg,0.03,231.94681498209636,0.549587,9096192
P01004-190559.jpg,0.004,256.82806396484375,0.168732,9096192
P01004-183446.jpg,0.018,266.462159898546,0.213034,9096192
P01004-190527.jpg,0.008,252.57878875732422,0.196997,9096192
photo_2020-10-02_10-57-42.jpg,0.002,264.16851806640625,0.022983,916480
P01004-201906.jpg,0.008,238.63597106933594,0.170013,9096192
photo_2020-10-01_22-12-05.jpg,0.010893246187363835,247.3260711669922,0.019898,916480
P01004-182929.jpg,0.016,254.18031311035156,0.171326,9096192
P01004-182802.jpg,0.02,210.78665008544922,0.198347,9096192
photo_2020-10-01_22-12-19.jpg,0.02,-1.0,0.002313,406881
P01004-182956.jpg,0.008,230.24916076660156,0.18913,9096192
P01004-202154.jpg,0.049079754601226995,337.9623260498047,0.16355,9096192
P01004-185810.jpg,0.016,260.7586135864258,0.182683,9096192
P01004-190120.jpg,0.008,230.70368194580078,0.174946,9096192
P01004-190015.jpg,0.01,242.84389953613282,0.196361,9096192
P01004-183504.jpg,0.008902077151335312,266.5066731770833,0.164667,9096192
photo_2020-10-02_10-57-38.jpg,0.006,280.3937683105469,0.023828,916480
P01004-190215.jpg,0.008,255.42094039916992,0.172276,9096192
P01004-201533.jpg,0.004,285.1507568359375,0.166071,9096192
photo_2020-10-02_10-57-35.jpg,0.004,264.13404083251953,0.021828,916480
P01004-183032.jpg,0.002,282.6128234863281,0.173183,9096192
P01004-191224.jpg,0.002,289.9154968261719,0.167897,9096192
P01004-190859.jpg,0.012,244.55604807535806,0.192825,9096192
P01004-202231.jpg,0.009876543209876543,283.54056549072266,0.165574,9096192
P01004-183436.jpg,0.008,293.56141662597656,0.172727,9096192
P01004-190817.jpg,0.006,238.94379679361978,0.169685,9096192
P01004-185926.jpg,0.008,231.09066772460938,0.173223,9096192
P01004-202143.jpg,0.004,257.42359924316406,0.176271,9096192
photo_2020-10-01_22-11-37.jpg,0.004,-1.0,0.003759,916480
photo_2020-10-01_22-11-43.jpg,0.004,-1.0,0.002634,916480
P01004-191027.jpg,0.008368200836820083,264.17193603515625,0.1667,9096192
P01004-190850.jpg,0.006,243.59559631347656,0.171993,9096192
P01004-190232.jpg,0.004,257.50447845458984,0.177158,9096192
P01004-190810.jpg,0.0,-1.0,0.166902,9096192
P01004-191307.jpg,0.018,253.54970974392361,0.176053,9096192
P01004-202046.jpg,0.008,276.04886627197266,0.167738,9096192
P01004-183121.jpg,0.008,245.13573837280273,0.180631,9096192
photo_2020-10-02_10-57-31.jpg,0.004,270.1059112548828,0.026223,916480
P01004-201548.jpg,0.012,265.61814371744794,0.179568,9096192
P01004-191411.jpg,0.008,309.1936569213867,0.180843,9096192
P01004-183007.jpg,0.038,225.61901052374589,0.175472,9096192
P01004-182750.jpg,0.014,250.64982386997767,0.384483,9096192
P01004-191234.jpg,0.01,268.8194854736328,0.178167,9096192
P01004-191625.jpg,0.01,280.0236572265625,0.166533,9096192
P01004-191140.jpg,0.009900990099009901,363.7416687011719,0.170528,9096192
P01004-183519.jpg,0.01,269.7159790039062,0.168531,9096192
P01004-183026.jpg,0.004,270.71055603027344,0.22235,9096192
P01004-190425.jpg,0.01,264.7748260498047,0.18633,9096192
photo_2020-10-01_22-11-30.jpg,0.01,-1.0,0.003567,916480
P01004-185934.jpg,0.018,263.661371866862,0.171984,9096192
photo_2020-10-02_10-57-45.jpg,0.008,256.18054962158203,0.036562,916480
P01004-191450.jpg,0.014,249.29331534249442,0.189803,9096192
P01004-191516.jpg,2.125,429.62021412568936,0.16148,9096192
photo_2020-10-02_10-57-15.jpg,0.006,278.77399190266925,0.024831,916480
P01004-185905.jpg,0.004,276.8582458496094,0.171882,9096192
photo_2020-10-01_22-11-33.jpg,0.004,-1.0,0.003671,916480
P01004-190513.jpg,0.0,-1.0,0.228414,9096192
P01004-190023.jpg,0.012,261.12437947591144,0.175413,9096192
P01004-191105.jpg,0.006,286.4928385416667,0.176922,9096192
P01004-185820.jpg,0.006,241.18680826822916,0.183586,9096192
P01004-190621.jpg,0.002,195.29721069335938,0.173521,9096192
photo_2020-10-01_22-11-46.jpg,0.002,276.53570556640625,0.021598,916480
P01004-191610.jpg,0.002,274.617919921875,0.188941,9096192
P01004-182828.jpg,0.016,262.62282371520996,0.18697,9096192
P01004-183058.jpg,0.004,262.41297912597656,0.179649,9096192
P01004-191057.jpg,0.07692307692307693,350.59937286376953,0.163948,9096192
