index,correct_features,local_mistake,time,image_size
test20.jpg,0.01,263.5300048828125,0.518705,12979200
IMG_20200927_200655.jpg,0.0,-1.0,0.245586,12979200
IMG_20200927_211536_HDR.jpg,0.026,251.72713529146634,0.267829,12979200
IMG_20200927_195507.jpg,0.012,228.95919799804688,0.256662,12979200
IMG_20200927_202032.jpg,0.02,257.64818878173827,0.117929,6182451
test6.jpg,0.0,-1.0,0.033603,1440000
IMG_20200927_201826.jpg,0.018,222.27042134602866,0.250511,12979200
IMG_20200927_205316_HDR.jpg,0.006,252.90465291341147,0.190629,10078425
IMG_20200927_213117.jpg,0.07692307692307693,318.56707255045575,0.242876,12979200
IMG_20200927_201927.jpg,0.022,209.3804737437855,0.186545,10024287
IMG_20200927_200052.jpg,0.012,197.69192504882812,0.23852,12979200
IMG_20200927_195959.jpg,0.01639344262295082,324.63037109375,0.242651,12979200
IMG_20200927_201246.jpg,0.014,194.42500741141183,0.247647,12979200
IMG_20200927_205015_HDR.jpg,0.014,241.42637416294642,0.247428,12979200
test17.jpg,0.012,271.3872985839844,0.269198,12979200
IMG_20200927_200636.jpg,0.024,229.10410372416177,0.248905,12979200
IMG_20200927_203948.jpg,2.142857142857143,384.75754801432294,0.172702,9184936
IMG_20200927_200644.jpg,0.018,219.5492689344618,0.200824,10490040
IMG_20200927_204438.jpg,0.016,224.13015174865723,0.269228,12979200
IMG_20200927_204535.jpg,0.028,227.97121647426061,0.293438,12979200
IMG_20200927_200601.jpg,0.016,201.34717750549316,0.246787,12979200
IMG_20200927_201935.jpg,0.016,223.077241897583,0.256756,12979200
IMG_20200927_201253.jpg,0.02,183.0933708190918,0.251388,12979200
test7.jpg,0.008,270.325008392334,0.024266,958800
IMG_20200927_200242.jpg,0.026,197.91705909142127,0.24967,12979200
IMG_20200928_141434.jpg,0.002,248.1874237060547,0.245915,12979200
IMG_20200928_141357.jpg,0.012,183.67869567871094,0.251106,12979200
IMG_20200927_201834.jpg,0.02,203.12960968017578,0.247334,12979200
test2.jpg,0.006,280.1851094563802,0.190663,4182016
test4.jpg,0.004,225.28900909423828,0.060809,3145728
test15.jpg,0.013333333333333334,194.93158721923828,0.244634,12979200
IMG_20200927_200920.jpg,0.016,222.99328994750977,0.281605,12979200
test8.jpg,0.02,231.9707046508789,0.244464,12979200
IMG_20200927_200229.jpg,0.04964539007092199,273.41490391322543,0.242474,12979200
IMG_20200927_211709_HDR.jpg,0.012,232.55907694498697,0.25449,12979200
IMG_20200927_212219_HDR.jpg,0.02092050209205021,299.7629699707031,0.241776,12979200
IMG_20200927_203931.jpg,0.016,224.6883201599121,0.248639,12979200
IMG_20200927_195708.jpg,0.02,210.00590972900392,0.256614,12979200
IMG_20200927_201708.jpg,0.014,244.65672302246094,0.360649,12979200
test5.jpg,0.012,217.683837890625,0.129942,5947392
IMG_20200927_211100_HDR.jpg,0.024,232.12895075480142,0.24712,12979200
IMG_20200927_204359.jpg,0.01,263.8277893066406,0.185622,10231234
test12.jpg,0.012,200.88113911946616,0.235955,12979200
IMG_20200927_195613.jpg,0.014,236.5124795096261,0.247738,12979200
IMG_20200927_201335.jpg,0.028846153846153848,207.93156941731772,0.24297,12979200
IMG_20200928_141810.jpg,0.018,225.85648091634116,0.246978,12979200
IMG_20200927_202211.jpg,0.0364963503649635,275.1897247314453,0.242899,12979200
IMG_20200927_201730.jpg,0.012,256.25821177164715,0.183843,10115124
IMG_20200927_205438_HDR.jpg,0.036,214.91051313612195,0.237401,12979200
IMG_20200927_200440.jpg,0.015384615384615385,261.7571741739909,0.246083,12979200
IMG_20200927_200330.jpg,0.032,229.88969326019287,0.260837,12979200
IMG_20200927_205544_HDR.jpg,0.024,241.44291051228842,0.250953,12979200
