,filename ,eror I,time
0,P01004-190054.jpg,1,0.431845
1,P01004-190112.jpg,1,0.458771
2,P01004-190120.jpg,0,0.460766
3,P01004-190141.jpg,0,0.419878
4,P01004-190202.jpg,1,0.525594
5,P01004-190215.jpg,0,0.429849
6,P01004-190232.jpg,1,0.394944
7,P01004-190425.jpg,1,0.375996
8,P01004-190444.jpg,0,0.485701
9,P01004-190513.jpg,0,0.537561
10,P01004-190527.jpg,1,0.455784
11,P01004-190559.jpg,1,0.527589
12,P01004-190600.jpg,1,0.453791
13,P01004-190621.jpg,0,0.483708
14,P01004-190810.jpg,0,0.643281
15,P01004-190817.jpg,0,0.714687
16,P01004-190838.jpg,0,0.521119
17,P01004-190850.jpg,0,0.518585
18,P01004-190859.jpg,0,0.567085
19,P01004-190916.jpg,0,0.419671
20,P01004-191027.jpg,0,0.412895
21,P01004-191037.jpg,0,0.518378
22,P01004-191057.jpg,1,0.404504
23,P01004-191105.jpg,0,0.512629
24,P01004-191140.jpg,0,0.465018
25,P01004-191157.jpg,0,0.448704
26,P01004-191212.jpg,1,0.375996
27,P01004-191224.jpg,1,0.36303
28,P01004-191234.jpg,1,0.492681
29,P01004-191242.jpg,0,0.577455
30,P01004-191256.jpg,0,0.444811
31,P01004-191307.jpg,0,0.373002
32,P01004-191318.jpg,0,0.404917
33,P01004-191403.jpg,0,0.527589
34,P01004-191411.jpg,0,0.445809
35,P01004-191430.jpg,1,0.496672
36,P01004-191450.jpg,1,0.48969
37,P01004-191505.jpg,0,0.469745
38,P01004-191516.jpg,1,0.361033
39,P01004-191528.jpg,0,0.456777
