,filename ,eror I,time
0,IMG_20200927_201040.jpg,0,0.446804
1,IMG_20200927_201122.jpg,1,1.1589
2,IMG_20200927_201218.jpg,0,0.500662
3,IMG_20200927_201246.jpg,1,0.558464
4,IMG_20200927_201253.jpg,1,0.567481
5,IMG_20200927_201325.jpg,0,0.361032
6,IMG_20200927_201335.jpg,0,0.436832
7,IMG_20200927_201354.jpg,1,1.013291
8,IMG_20200927_201601.jpg,1,0.448801
9,IMG_20200927_201611.jpg,0,0.729051
10,IMG_20200927_201708.jpg,1,1.12499
11,IMG_20200927_201730.jpg,0,0.464756
12,IMG_20200927_201826.jpg,1,0.600396
13,IMG_20200927_201834.jpg,0,0.608372
14,IMG_20200927_201927.jpg,0,0.547537
15,IMG_20200927_201935.jpg,0,0.931508
16,IMG_20200927_202032.jpg,1,0.296206
17,IMG_20200927_202211.jpg,1,0.506644
18,IMG_20200927_202235.jpg,0,0.65026
19,IMG_20200927_202359.jpg,0,0.329119
20,IMG_20200927_202417.jpg,1,0.478719
21,IMG_20200927_203931.jpg,0,0.771936
22,IMG_20200927_203948.jpg,1,0.338094
23,IMG_20200927_204037.jpg,0,0.421872
24,IMG_20200927_204142.jpg,0,0.387959
25,IMG_20200927_204359.jpg,0,0.51263
26,IMG_20200927_204438.jpg,1,0.846739
27,IMG_20200927_204535.jpg,0,0.62434
28,IMG_20200927_204853_HDR.jpg,1,1.458101
29,IMG_20200927_204907_HDR.jpg,0,0.578449
30,IMG_20200927_205015_HDR.jpg,1,0.799863
31,IMG_20200927_205129_HDR.jpg,1,0.893611
32,IMG_20200927_205316_HDR.jpg,1,0.481665
33,IMG_20200927_205413_HDR.jpg,0,0.870671
34,IMG_20200927_205438_HDR.jpg,0,0.800858
35,IMG_20200927_205511_HDR.jpg,1,0.247337
36,IMG_20200927_205544_HDR.jpg,0,1.054182
37,IMG_20200927_205803_HDR.jpg,1,1.051189
38,IMG_20200927_210226_HDR.jpg,1,0.502656
39,IMG_20200927_210457_HDR.jpg,0,0.730046
