,filename ,eror I,time
0,IMG_20200927_201040.jpg,0,0.468052
1,IMG_20200927_201122.jpg,1,1.387453
2,IMG_20200927_201218.jpg,0,0.553088
3,IMG_20200927_201246.jpg,1,0.597352
4,IMG_20200927_201253.jpg,1,0.592704
5,IMG_20200927_201325.jpg,0,0.415452
6,IMG_20200927_201335.jpg,0,0.652407
7,IMG_20200927_201354.jpg,1,1.075881
8,IMG_20200927_201601.jpg,1,0.479846
9,IMG_20200927_201611.jpg,0,0.785582
10,IMG_20200927_201708.jpg,1,1.376174
11,IMG_20200927_201730.jpg,0,0.545281
12,IMG_20200927_201826.jpg,1,0.659215
13,IMG_20200927_201834.jpg,0,0.756475
14,IMG_20200927_201927.jpg,0,0.730556
15,IMG_20200927_201935.jpg,0,0.975114
16,IMG_20200927_202032.jpg,1,0.302606
17,IMG_20200927_202211.jpg,1,0.537476
18,IMG_20200927_202235.jpg,0,0.833945
19,IMG_20200927_202359.jpg,0,0.340283
20,IMG_20200927_202417.jpg,1,0.507557
21,IMG_20200927_203931.jpg,0,0.794438
22,IMG_20200927_203948.jpg,1,0.341765
23,IMG_20200927_204037.jpg,0,0.470562
24,IMG_20200927_204142.jpg,0,0.404232
25,IMG_20200927_204359.jpg,0,0.422923
26,IMG_20200927_204438.jpg,1,0.690225
27,IMG_20200927_204535.jpg,0,0.595466
28,IMG_20200927_204853_HDR.jpg,1,1.405403
29,IMG_20200927_204907_HDR.jpg,0,0.723608
30,IMG_20200927_205015_HDR.jpg,1,0.885253
31,IMG_20200927_205129_HDR.jpg,1,1.007144
32,IMG_20200927_205316_HDR.jpg,1,0.508138
33,IMG_20200927_205413_HDR.jpg,0,0.925739
34,IMG_20200927_205438_HDR.jpg,0,0.880409
35,IMG_20200927_205511_HDR.jpg,1,0.248639
36,IMG_20200927_205544_HDR.jpg,0,1.024693
37,IMG_20200927_205803_HDR.jpg,1,0.987477
38,IMG_20200927_210226_HDR.jpg,1,0.498799
39,IMG_20200927_210457_HDR.jpg,0,0.730272
