,filename ,eror I,time
0,P01004-190054.jpg,1,0.452791
1,P01004-190112.jpg,0,0.62433
2,P01004-190120.jpg,0,0.709102
3,P01004-190141.jpg,0,0.386964
4,P01004-190202.jpg,0,0.873666
5,P01004-190215.jpg,0,0.527591
6,P01004-190232.jpg,0,0.498668
7,P01004-190425.jpg,0,0.576457
8,P01004-190444.jpg,0,0.836762
9,P01004-190513.jpg,1,0.589424
10,P01004-190527.jpg,1,0.424864
11,P01004-190559.jpg,1,0.476724
12,P01004-190600.jpg,1,0.633305
13,P01004-190621.jpg,1,0.507643
14,P01004-190810.jpg,0,0.552528
15,P01004-190817.jpg,0,0.576458
16,P01004-190838.jpg,1,0.727998
17,P01004-190850.jpg,0,0.597403
18,P01004-190859.jpg,0,0.692149
19,P01004-190916.jpg,0,0.974394
20,P01004-191027.jpg,1,0.37001
21,P01004-191037.jpg,0,0.498668
22,P01004-191057.jpg,0,0.375995
23,P01004-191105.jpg,0,0.704115
24,P01004-191140.jpg,0,0.329119
25,P01004-191157.jpg,0,0.588423
26,P01004-191212.jpg,0,0.399932
27,P01004-191224.jpg,1,0.393947
28,P01004-191234.jpg,0,0.321143
29,P01004-191242.jpg,0,0.450792
30,P01004-191256.jpg,1,0.333053
31,P01004-191307.jpg,0,0.65425
32,P01004-191318.jpg,1,0.413893
33,P01004-191403.jpg,1,0.713095
34,P01004-191411.jpg,1,0.576461
35,P01004-191430.jpg,1,0.817814
36,P01004-191450.jpg,1,0.856707
37,P01004-191505.jpg,0,0.770941
38,P01004-191516.jpg,1,0.319147
39,P01004-191528.jpg,0,0.76296
